nama_siswa,alamat_siswa,nilai_rapor,nilai_ujian_sekolah,nilai_ujian_nasional,aktivitas_ekstrakurikuler,prestasi_olimpiade,minat_jurusan,sekolah_asal,lokasi,sekolah_sma
Kimberly Gonzalez,"844 Williams Walks
East Sarahtown, NC 82208",9,70,100,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Scott Owen,"3129 Neal Knolls Apt. 667
Joannastad, AR 93947",9,77,69,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Edward Powell,"7641 Dana Estate
Port James, CA 70672",9,70,66,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Roberta Smith,"PSC 7798, Box 6208
APO AE 00734",9,70,67,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Amber Thomas,"406 Larson Plains
West Michaelhaven, VT 90165",8,79,72,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Teresa Wheeler,"295 Katherine Path
Alvarezview, IN 88893",8,73,70,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Kayla Singleton,"Unit 5982 Box 2047
DPO AE 74447",8,93,67,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Maria Wilson,"06472 Megan Course
New Barry, KY 96967",8,87,65,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Christopher Richardson,"721 Gabriella Flat Suite 075
North Brian, KY 24968",8,78,82,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Kristi Zimmerman,"Unit 2091 Box 2398
DPO AA 95363",8,78,88,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Christian Fletcher,"882 Matthew Landing Suite 912
North Christopherfort, AS 22090",8,79,67,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Amanda Dennis,"273 Smith Squares Suite 591
East Ashley, NE 60378",8,91,88,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Abigail Morales,"9719 Romero Meadows Apt. 933
East Scott, VI 90989",9,99,83,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Mr. Patrick Quinn,"USS Howard
FPO AA 91819",8,76,96,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
John Vega,"127 Diane Falls Apt. 890
Bentleyview, ME 35614",7,88,83,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Benjamin Valdez,"USNV Torres
FPO AE 25191",9,92,64,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Charles Johnson,"PSC 8659, Box 6269
APO AA 34624",7,87,69,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Dorothy Lopez,"804 Paul Hills
Turnerbury, WA 11828",8,70,88,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Alyssa Rodriguez,"17396 Gary Springs
Sotoville, GA 68470",8,98,80,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Gregory Boyle,"76662 Jessica Mill Apt. 638
Moramouth, TN 28289",7,92,97,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Jacob Johnson,"2416 Thompson Haven
Vincentmouth, IN 47313",8,84,97,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
William Scott,"893 Christopher Estates
Lake Jessicafort, FL 44007",9,84,91,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Jane Becker,"64361 Shelly Causeway
New Phillipmouth, CA 78792",9,94,89,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Kathy Nelson,"7245 Roberts Ferry
North Lauren, MH 78807",8,98,76,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Scott Singh,"460 Shelby Corners Suite 946
North Andrea, MT 14963",9,79,82,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Angela Mccoy,"0355 Goodman Mews Suite 978
East Madisonstad, PW 81873",9,86,89,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Penny Chase,"7239 Randolph Grove Apt. 789
Port Walter, MI 15238",8,91,67,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Destiny Lopez,"PSC 0430, Box 3475
APO AA 56585",8,95,94,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Shawn Chandler,"00521 John Garden Apt. 989
East Tyler, TX 05674",9,73,74,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Tyler Owens,"135 Joseph Fields Suite 647
Port Seth, NV 22052",9,91,87,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Zachary Rogers,"Unit 8876 Box 0902
DPO AP 41163",9,90,77,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Nicholas Benitez,"1289 Robert Bypass Apt. 200
New Pamelaside, NH 42906",9,78,74,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Jason Franklin,"2653 Howard Underpass
Petersenborough, LA 64311",8,73,100,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Sean Ponce,"378 April Junctions
South Olivia, MN 62911",9,80,75,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Erika Mckinney,"62393 Allison Lodge
Bushfurt, SD 10042",8,99,75,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Stanley Smith,"8864 Luis Causeway Suite 897
Chenmouth, NE 34399",7,84,63,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Gregory Kelly,"046 Chapman Fords
Mcdonaldmouth, KS 39774",7,80,83,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Christopher Gray,"USCGC Smith
FPO AA 94293",8,81,79,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Austin Holmes,"658 Howard Branch
Shellytown, NE 04168",9,72,62,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Calvin Solomon,"61060 Kathryn Estate
South Douglasland, WV 92226",9,99,66,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Charles Bass,"058 Angela Ridge
West Maureen, KY 48650",9,96,99,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Bryce Cowan,"3400 Hunter Estates
Kristinaland, PR 24738",9,77,90,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Jennifer Davis,"177 Nicole Hollow Suite 858
Jesuston, NY 98809",7,72,94,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Cynthia Moore,"15337 Levine Rapids
Murphyside, DC 17657",9,99,66,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Terry Escobar,"33657 Welch Village Apt. 238
Joelmouth, ME 10501",9,72,61,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Timothy Lee,"30350 Diaz Dam
Thomasbury, NJ 88017",9,96,86,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Rodney Bennett,"711 Robinson Mountains
North Deniseview, MH 91246",7,96,63,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Marcus Wilson,"2356 Julie Divide Suite 283
Scottchester, NJ 77234",8,82,67,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Douglas Reyes,"71769 Michael Meadows Apt. 608
New Carolineborough, GA 57986",7,73,91,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Jim Cohen,"454 Kim Bypass
Port Kimberlytown, DE 35476",9,99,77,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Sarah Smith,"165 Wright Row Suite 581
Guzmanton, UT 02592",7,81,93,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Crystal Johnson,"01673 Watson Islands
North Jacqueline, NE 64034",9,85,86,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Mary Rice,"175 Jeremy Way
Tracyside, AR 75774",7,74,64,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Laura Fowler,"0356 Mathews Inlet Suite 330
Webertown, NE 11474",8,90,71,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Allison Joseph,"8014 Regina Route
Lake Patrick, NC 62725",7,89,79,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Martin Barton,"PSC 3272, Box 2163
APO AE 73942",7,72,67,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
David Murray,"609 Timothy Forks Suite 353
Ellisbury, SC 78679",10,93,98,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Sheila Owens,"7585 Carr Tunnel
Amyfort, WY 02812",10,100,77,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Gregory Brady,"9447 Sean Locks
Port Shawn, FM 29347",9,76,73,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Nicolas Norris,"97442 Lisa Streets Apt. 664
Christinamouth, MT 61087",8,73,82,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Miss Angela Robinson,"123 Michael Skyway
Patrickview, MA 38377",9,82,79,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Cynthia Zimmerman,"2332 Rodriguez Union
West Rebecca, DC 75931",8,80,100,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Nicholas Cruz,"7903 Riley Port
South Trevor, KS 87799",7,87,76,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Trevor Davis,"03500 Carla Row Apt. 099
South Susanton, AR 58979",8,92,74,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Whitney Stone,"8644 Gregory Turnpike Apt. 885
Natashaview, PA 25095",7,80,68,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Jennifer Flores,"8792 Huang Mews
Howardfort, VI 86903",7,91,98,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
James Trujillo,"46905 Vaughan Stream
Port Elizabeth, MO 39350",8,70,65,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Anna Conley,"88117 Alexander Spur
Jonesland, VI 67052",8,84,85,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Jamie Hancock,"7349 Foster Lodge
Joland, SD 46542",10,88,80,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Ryan Jackson,"207 Sarah Cape
Hansenhaven, DC 74350",9,94,91,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Kimberly Phillips,"72141 Robert Center
Scottfort, OK 68761",10,74,63,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Adrienne Wilson,"227 Linda Manors Suite 201
Jessicaborough, OK 17114",9,76,91,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Larry Goodwin,"7780 Robert Rest Suite 414
South Richardchester, ID 44666",9,75,98,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Jillian Williams DDS,"7170 Daniel Spurs
Melissaville, ME 41334",10,88,87,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Jennifer Davis,"PSC 6824, Box 6651
APO AA 67066",8,91,76,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
James Newton,"882 Johnson Throughway
South Jennifer, IL 79114",9,98,82,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Mitchell Brady,"5225 Smith Light Suite 354
East Karen, DC 15186",7,85,98,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Robert Cantu,"0610 Nunez Shoal Suite 432
North Jamesmouth, IA 23696",7,72,86,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Betty Martin,"959 Dana Avenue
East Georgeville, VI 92112",9,89,97,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Joyce Boyer,"5290 Karen Lights Apt. 211
West Davidfurt, AS 98963",8,88,95,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Cassidy Lawson,"5019 Mooney Cliff
North Dominicport, NJ 28838",9,87,70,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Cory Buchanan,"456 Lewis Glen Suite 693
West Christopher, MI 71606",8,72,84,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Janice Diaz,"699 Proctor Road
West Matthewville, UT 90220",10,88,98,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Emily Moore,"7016 Pamela Mountain
Perezton, MI 08487",8,82,74,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Christopher Knox,"PSC 7880, Box 5450
APO AA 12027",10,71,85,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Taylor Pittman,"6025 Fields Pass
Aaronbury, MN 81880",9,87,70,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Michael Adams,"0701 Rocha Walks
South Rebeccamouth, NJ 21054",8,93,75,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Matthew Mccarthy,"USNV Brown
FPO AE 69067",7,99,85,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Gregory Smith,"7897 Dunn Glens
Mcfarlandport, PA 61147",9,93,69,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Christian Hall,"473 Shelley Heights
South Kristyland, VA 71485",8,91,92,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Amber Ferguson,"280 Emily Orchard Apt. 695
Nathanberg, MT 02721",9,94,77,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Ashley Smith,"91306 Ryan Bypass
Port Omar, MN 19916",10,81,63,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Sarah Hughes,"USS Rose
FPO AA 68510",10,82,60,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Jocelyn Hicks,"718 Martin Ridge Apt. 702
South Donaldmouth, WI 20262",8,96,85,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Tiffany Maldonado,"USCGC Cole
FPO AE 38530",8,90,96,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Jessica Young,"017 Raymond Bypass Suite 182
New Haley, FL 52880",8,97,63,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Brittney Montgomery,"8638 Watson Haven Suite 062
Nealmouth, WY 31094",8,91,63,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Craig Taylor,"648 Decker Street Suite 762
North Conniebury, OH 57050",9,92,98,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Roger Arnold,"607 Shelby Rue
Buchananside, MD 22184",8,70,65,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Mariah Armstrong,"USNS Quinn
FPO AE 76846",9,97,86,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Lisa Williams,"02943 James Meadow
Patrickborough, MN 05598",8,100,74,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Louis Edwards,"185 Sweeney Club
West Juanbury, DC 52655",8,99,95,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Matthew Harrington,"78589 Marshall Court
Port Charles, VI 21794",8,98,65,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Kerry Cook,"454 Matthew Crossroad Apt. 016
Sierraport, WA 96649",9,74,68,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Corey Rogers,"207 Woods Heights
East Curtis, PR 08867",7,72,63,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Scott Thomas,"72432 Kyle Harbors
South Jennifershire, MS 88497",8,95,87,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Christine Foster,"41286 Chris Trafficway
Port Danielle, NE 41190",7,91,92,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
David Taylor,"40583 Jenkins Common
New Timothytown, SC 83364",8,87,92,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Samantha Brown,"4297 Alexandra Crest
Port Adamport, AZ 98289",9,72,79,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Ashley Hall,"04947 Spencer Well
Shannonstad, VA 74599",8,88,70,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Cory Elliott,"8066 Peter Camp Apt. 073
Hodgeside, DC 39589",8,78,61,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Jennifer Carey,"46170 West Meadow
New Lisaborough, FL 80374",10,83,63,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Joshua Simmons,"87550 Gonzalez Field
South Williamfurt, NE 21402",8,90,65,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Sara Padilla,"228 Salinas Green
East James, NE 78997",7,95,78,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Julia Sellers,"792 Stacy Drives Apt. 226
Amyport, VI 31886",10,73,93,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Deborah Petersen,"76234 Kim Cliffs Apt. 748
Williamsstad, LA 87901",9,73,76,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
James Taylor,"78088 Gibson Track Apt. 283
Christopherburgh, OH 63188",10,79,77,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
